species,longitude,latitude
Boana_leptolineata,-50.29217,-29.40606
Boana_leptolineata,-50.29217,-29.40606
Boana_leptolineata,-50.29217,-29.40606
Boana_leptolineata,-50.29217,-29.40606
Boana_leptolineata,-50.29217,-29.40606
Boana_leptolineata,-50.29217,-29.40606
Boana_leptolineata,-50.29217,-29.40606
Boana_leptolineata,-50.29217,-29.40606
Boana_leptolineata,-50.29217,-29.40606
Boana_leptolineata,-50.29217,-29.40606
Boana_leptolineata,-50.29217,-29.40606
Boana_leptolineata,-50.29217,-29.40606
Boana_leptolineata,-50.29217,-29.40606
Boana_leptolineata,-50.29217,-29.40606
Boana_leptolineata,-50.29217,-29.40606
Boana_leptolineata,-50.29217,-29.40606
Boana_leptolineata,-50.29217,-29.40606
Boana_leptolineata,-50.29217,-29.40606
Boana_leptolineata,-50.29217,-29.40606
Boana_leptolineata,-50.29217,-29.40606
Boana_leptolineata,-50.29217,-29.40606
Boana_leptolineata,-50.29217,-29.40606
Boana_leptolineata,-50.29217,-29.40606
Boana_leptolineata,-50.29217,-29.40606
Boana_leptolineata,-50.29217,-29.40606
Boana_leptolineata,-50.29217,-29.40606
Boana_leptolineata,-50.29217,-29.40606
Boana_leptolineata,-50.22667,-29.47889
Boana_leptolineata,-50.22667,-29.47889
Boana_leptolineata,-50.21667,-29.45
Boana_leptolineata,-50.21667,-29.45
Boana_leptolineata,-50.21667,-29.45
Boana_leptolineata,-50.21667,-29.45
Boana_leptolineata,-50.21667,-29.45
Boana_leptolineata,-50.21667,-29.45
Boana_leptolineata,-50.21667,-29.45
Boana_leptolineata,-50.21667,-29.45
Boana_leptolineata,-50.21667,-29.45
Boana_leptolineata,-50.21667,-29.45
Boana_leptolineata,-50.18078,-29.35022
Boana_leptolineata,-50.17611,-29.48139
Boana_leptolineata,-50.17611,-29.48139
Boana_leptolineata,-50.17611,-29.48139
Boana_leptolineata,-50.17611,-29.48139
Boana_leptolineata,-50.17611,-29.48139
Boana_leptolineata,-50.17611,-29.48139
Boana_leptolineata,-50.17611,-29.48139
Boana_leptolineata,-50.17611,-29.48139
Boana_leptolineata,-50.17611,-29.48139
Boana_leptolineata,-50.17611,-29.48139
Boana_leptolineata,-50.17611,-29.48139
Boana_leptolineata,-50.17361,-29.48
Boana_leptolineata,-50.17361,-29.48
Boana_leptolineata,-50.17361,-29.48
Boana_leptolineata,-50.17361,-29.48
Boana_leptolineata,-50.09689,-29.18174
Boana_leptolineata,-50.09689,-29.18174
Boana_leptolineata,-50.09689,-29.18174
Boana_leptolineata,-50.09689,-29.18174
Boana_leptolineata,-50.09689,-29.18174
Boana_leptolineata,-50.09689,-29.18174
Boana_leptolineata,-50.09689,-29.18174
Boana_leptolineata,-50.09689,-29.18174
Boana_leptolineata,-50.09689,-29.18174
Boana_leptolineata,-50.09689,-29.18174
Boana_leptolineata,-50.09689,-29.18174
Boana_leptolineata,-50.09689,-29.18174
Boana_leptolineata,-50.09689,-29.18174
Boana_leptolineata,-50.09689,-29.18174
Boana_leptolineata,-50.09689,-29.18174
Boana_leptolineata,-50.09689,-29.18174
Boana_leptolineata,-50.09689,-29.18174
Boana_leptolineata,-50.09689,-29.18174
Boana_leptolineata,-50.09689,-29.18174
Boana_leptolineata,-50.09689,-29.18174
Boana_leptolineata,-50.07944,-29.16
Boana_leptolineata,-50.06583,-28.74778
Boana_leptolineata,-50.06583,-28.74778
Boana_leptolineata,-50.06583,-28.74778
Boana_leptolineata,-50.06583,-28.74778
Boana_leptolineata,-49.98948,-29.07363
Boana_leptolineata,-49.98948,-29.07363
Boana_leptolineata,-49.98948,-29.07363
Boana_leptolineata,-49.98948,-29.07363
Boana_leptolineata,-49.98948,-29.07363
Boana_leptolineata,-49.98948,-29.07363
Boana_leptolineata,-49.98948,-29.07363
Boana_leptolineata,-49.98948,-29.07363
Boana_leptolineata,-49.98889,-29.07306
Boana_leptolineata,-49.98889,-29.07306
Boana_leptolineata,-49.98528,-29.07667
Boana_leptolineata,-49.98528,-29.07667
Boana_leptolineata,-49.98333,-29.05
Boana_leptolineata,-49.98027,-29.0714
Boana_leptolineata,-49.96258,-28.67334
Boana_leptolineata,-49.59167,-28.015
Boana_leptolineata,-49.55258,-28.39908
Boana_leptolineata,-49.55258,-28.39908
Boana_leptolineata,-49.55258,-28.39908
Boana_leptolineata,-49.55219,-28.40142
Boana_leptolineata,-49.55219,-28.40142
Boana_leptolineata,-49.55219,-28.40142
Boana_leptolineata,-49.14825,-25.87041
Boana_leptolineata,-49.14825,-25.87041
Boana_leptolineata,-49.14825,-25.87041
Boana_leptolineata,-51.5467443,-25.0280278
